nohup: ignoring input
🔍 Starting memory monitor for 30 minutes
📊 Recording every 10 seconds
💾 Data will be saved to: /home/orangepi/argo/memory_usage_20250915_040007.csv
⏰ Started at: 2025-09-15 04:00:07
⏰ Will finish at: 2025-09-15 04:30:07
============================================================
[2025-09-15 04:00:07] Elapsed: 0s | System: 58.7% | Nodes: 0/7 | Total Memory: 1.0GB/1.9GB
[2025-09-15 04:00:18] Elapsed: 10s | System: 59.0% | Nodes: 0/7 | Total Memory: 1.0GB/1.9GB
[2025-09-15 04:00:28] Elapsed: 20s | System: 59.1% | Nodes: 0/7 | Total Memory: 1.0GB/1.9GB
[2025-09-15 04:00:38] Elapsed: 31s | System: 59.1% | Nodes: 0/7 | Total Memory: 1.0GB/1.9GB
[2025-09-15 04:00:48] Elapsed: 41s | System: 59.3% | Nodes: 0/7 | Total Memory: 1.0GB/1.9GB
[2025-09-15 04:00:59] Elapsed: 51s | System: 59.7% | Nodes: 0/7 | Total Memory: 1.1GB/1.9GB
[2025-09-15 04:01:09] Elapsed: 61s | System: 59.7% | Nodes: 0/7 | Total Memory: 1.1GB/1.9GB
[2025-09-15 04:01:19] Elapsed: 72s | System: 59.7% | Nodes: 0/7 | Total Memory: 1.1GB/1.9GB
[2025-09-15 04:01:29] Elapsed: 82s | System: 70.1% | Nodes: 7/7 | Total Memory: 1.3GB/1.9GB
[2025-09-15 04:01:40] Elapsed: 92s | System: 70.6% | Nodes: 6/7 | Total Memory: 1.3GB/1.9GB
[2025-09-15 04:01:50] Elapsed: 103s | System: 63.8% | Nodes: 6/7 | Total Memory: 1.1GB/1.9GB
[2025-09-15 04:02:00] Elapsed: 113s | System: 36.3% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:02:10] Elapsed: 123s | System: 36.3% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:02:21] Elapsed: 133s | System: 36.2% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:02:31] Elapsed: 144s | System: 36.2% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:02:41] Elapsed: 154s | System: 36.1% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:02:51] Elapsed: 164s | System: 36.1% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:03:02] Elapsed: 174s | System: 36.1% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:03:12] Elapsed: 185s | System: 36.1% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:03:22] Elapsed: 195s | System: 36.1% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:03:32] Elapsed: 205s | System: 36.1% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:03:42] Elapsed: 215s | System: 36.1% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:03:53] Elapsed: 225s | System: 36.1% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:04:03] Elapsed: 236s | System: 36.1% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:04:13] Elapsed: 246s | System: 36.1% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:04:23] Elapsed: 256s | System: 36.1% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:04:34] Elapsed: 266s | System: 36.1% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:04:44] Elapsed: 277s | System: 36.1% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:04:54] Elapsed: 287s | System: 36.1% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:05:04] Elapsed: 297s | System: 36.0% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:05:15] Elapsed: 307s | System: 36.0% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:05:25] Elapsed: 318s | System: 36.0% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:05:35] Elapsed: 328s | System: 36.0% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:05:45] Elapsed: 338s | System: 36.0% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:05:55] Elapsed: 348s | System: 36.0% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:06:06] Elapsed: 358s | System: 36.0% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:06:16] Elapsed: 369s | System: 36.0% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:06:26] Elapsed: 379s | System: 36.0% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:06:36] Elapsed: 389s | System: 35.6% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:06:47] Elapsed: 399s | System: 35.6% | Nodes: 6/7 | Total Memory: 0.6GB/1.9GB
[2025-09-15 04:06:57] Elapsed: 410s | System: 31.7% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:07:07] Elapsed: 420s | System: 31.7% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:07:17] Elapsed: 430s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:07:27] Elapsed: 440s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:07:38] Elapsed: 450s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:07:48] Elapsed: 461s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:07:58] Elapsed: 471s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:08:08] Elapsed: 481s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:08:19] Elapsed: 491s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:08:29] Elapsed: 501s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:08:39] Elapsed: 512s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:08:49] Elapsed: 522s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:08:59] Elapsed: 532s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:09:10] Elapsed: 542s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:09:20] Elapsed: 553s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:09:30] Elapsed: 563s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:09:40] Elapsed: 573s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:09:50] Elapsed: 583s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:10:01] Elapsed: 593s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:10:11] Elapsed: 604s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:10:21] Elapsed: 614s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:10:31] Elapsed: 624s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:10:42] Elapsed: 634s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:10:52] Elapsed: 645s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:11:02] Elapsed: 655s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:11:12] Elapsed: 665s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:11:22] Elapsed: 675s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:11:33] Elapsed: 685s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
