angle_deg,wind_speed_ref,sample_count,dp_ctr_mean,dp_ctr_std,dp_cw_mean,dp_cw_std,dp_ccw_mean,dp_ccw_std,temp_mean
-180,7.4,96,-43.74609375,5.714094214283337,-8.158333333333333,2.682597609305032,2.393489583333333,2.1694679917823967,30.599895833333335
-150,7.4,96,-22.160112847222223,3.168581848713916,-30.21258680555556,4.749504762924604,-0.06106770833333333,2.012432947263762,29.478107638888886
-120,7.4,96,-0.4534722222222222,2.0151467874670024,-34.36219618055555,4.480995921886627,6.630729166666666,2.1566008210649055,29.074427083333333
-90,7.4,96,-1.1445746527777778,2.123128611553666,-26.72508680555556,4.317936931824059,19.474565972222223,8.14530063793458,28.90571180555556
-60,7.4,96,1.0810329861111112,1.8904139641354987,-4.159505208333333,1.9627365081380552,32.509114583333336,3.623483694310694,28.891527777777778
-30,7.4,96,26.330859375,4.119877596823191,1.1018229166666667,1.881967168704414,18.317621527777778,3.2799095850758855,28.897395833333334
0,7.4,96,29.976605902777777,3.9951213724667514,0.7637586805555555,1.747676421191445,3.9272569444444443,1.9650974639380738,28.885312500000005
30,7.4,96,19.376041666666666,3.433733258210612,20.585460069444444,3.1944982631406753,1.6008680555555557,1.8750612371044284,28.794027777777778
60,7.4,96,5.0081163194444445,1.7123677135510107,30.482465277777777,3.9590009450100747,-3.063541666666667,1.3962779142738344,28.710625
90,7.4,96,-5.106944444444444,1.9731372583862732,20.74010416666667,3.317317385499923,-18.904296875,2.6320240194145184,28.605277777777776
120,7.4,10,-2.6279166666666667,1.3326157574276405,10.429583333333335,4.489127857792771,-26.086249999999996,4.372772865667987,28.57266666666666
